IMDB ID,Budget,Gross,,,,,,,,,,,,,,
tt0106677,"$6,900,000 ","$7,993,039 ",,,,,,,,,,,,,,
tt0106833,"$296,081 ",,,,,,,,,,,,,,,
tt0106856,"$25,000,000 ","$40,903,593 ",,,,,,,,,,,,,,
tt0106965,"$20,000,000 ","$77,698,625 ",,,,,,,,,,,,,,
tt0107076,"$18,000,000 ","$32,589,677 ",,,,,,,,,,,,,,
tt0107091,"$16,581,714 ",,,,,,,,,,,,,,,
tt0107148,"$322,871 ",,,,,,,,,,,,,,,
tt0107207,"$13,000,000 ","$25,010,410 ",,,,,,,,,,,,,,
tt0107286,"$21,000,000 ","$12,136,938 ",,,,,,,,,,,,,,
tt0107290,"$63,000,000 ","$402,453,882 ",,,,,,,,,,,,,,
tt0107473,"$11,081,586 ",,,,,,,,,,,,,,,
tt0107504,"$6,000,000 ","$12,974,636 ",,,,,,,,,,,,,,
tt0107507,"$13,500,000 ","$11,285,588 ",,,,,,,,,,,,,,
tt0108052,"$22,000,000 ","$96,067,179 ",,,,,,,,,,,,,,
tt0108207,"$3,246,063 ",,,,,,,,,,,,,,,
tt0108238,"$30,000,000 ","$23,798,623 ",,,,,,,,,,,,,,
tt0108258,"$4,916,135 ",,,,,,,,,,,,,,,
tt0108526,"$9,315,576 ",,,,,,,,,,,,,,,
tt0109021,"$7,000,000 ","$19,604,000 ",,,,,,,,,,,,,,
tt0109035,"$3,500,000 ","$16,036,534 ",,,,,,,,,,,,,,
tt0109370,"$11,000,000 ","$178,104 ",,,,,,,,,,,,,,
tt0109579,"$12,000,000 ","$2,104,000 ",,,,,,,,,,,,,,
tt0109675,"$2,000,000 ","$734,693 ",,,,,,,,,,,,,,
tt0109688,"$40,000,000 ","$173,526 ",,,,,,,,,,,,,,
tt0109758,"$25,000,000 ","$6,841,570 ",,,,,,,,,,,,,,
tt0109813,"$46,000,000 ","$130,512,915 ",,,,,,,,,,,,,,
tt0109828,"$113,727 ",,,,,,,,,,,,,,,
tt0109830,"$55,000,000 ","$330,252,182 ",,,,,,,,,,,,,,
tt0109890,"$16,096,000 ",,,,,,,,,,,,,,,
tt0109920,"$20,000,000 ","$2,308,390 ",,,,,,,,,,,,,,
tt0109951,"$20,000,000 ","$27,053,498 ",,,,,,,,,,,,,,
tt0110044,"$713,234 ",,,,,,,,,,,,,,,
tt0110057,"$700,000 ","$7,830,611 ",,,,,,,,,,,,,,
tt0110074,"$30,000,000 ","$2,869,369 ",,,,,,,,,,,,,,
tt0110167,"$37,800,323 ","<optionvalue=""JackGross"">JackGross</option>",,,,,,,,,,,,,,
tt0110186,"$7,000,000 ","$20,851,521 ",,,,,,,,,,,,,,
tt0110216,"$60,000,000 ","$36,763,355 ",,,,,,,,,,,,,,
tt0110357,"$45,000,000 ","$312,900,000 ",,,,,,,,,,,,,,
tt0110366,"$51,764,950 ",,,,,,,,,,,,,,,
tt0110443,"$29,412,050 ",,,,,,,,,,,,,,,
tt0110475,"$18,000,000 ","$119,938,730 ",,,,,,,,,,,,,,
tt0110538,"$15,000,000 ","$6,798,240 ",,,,,,,,,,,,,,
tt0110598,"$3,000,000 ","$15,185,594 ",,,,,,,,,,,,,,
tt0110632,"$34,000,000 ","$50,282,766 ",,,,,,,,,,,,,,
tt0110657,"$12,000,000 ","$8,914,777 ",,,,,,,,,,,,,,
tt0110678,"$20,000,000 ","$15,340,000 ",,,,,,,,,,,,,,
tt0110729,"$2,201,126 ",,,,,,,,,,,,,,,
tt0110771,"$6,000,000 ","$38,824,341 ",,,,,,,,,,,,,,
tt0110876,"$83,587 ",,,,,,,,,,,,,,,
tt0110939,"$15,000,000 ","$1,299,060 ",,,,,,,,,,,,,,
tt0110950,"$11,500,000 ","$20,982,557 ",,,,,,,,,,,,,,
tt0110997,"$45,000,000 ","$46,815,748 ",,,,,,,,,,,,,,
tt0110998,"$8,534 ",,,,,,,,,,,,,,,
tt0111048,"$63,649 ",,,,,,,,,,,,,,,
tt0111102,"$86,115 ",,,,,,,,,,,,,,,
tt0111127,"$13,000,000 ","$7,881,335 ",,,,,,,,,,,,,,
tt0111143,"$25,000,000 ","$32,055,248 ",,,,,,,,,,,,,,
tt0111149,"$2,500,000 ","$2,881,508 ",,,,,,,,,,,,,,
tt0111237,,,,,,,,,,,,,,,,
tt0111503,"$115,000,000 ","$146,282,411 ",,,,,,,,,,,,,,
tt0112346,"$62,000,000 ","$65,000,000 ",,,,,,,,,,,,,,
tt0112384,"$52,000,000 ","$173,837,933 ",,,,,,,,,,,,,,
tt0112442,"$19,000,000 ","$65,807,024 ",,,,,,,,,,,,,,
tt0112508,"$10,000,000 ","$25,588,750 ",,,,,,,,,,,,,,
tt0112760,"$98,000,000 ","$10,017,322 ",,,,,,,,,,,,,,
tt0112818,"$11,000,000 ","$39,387,284 ",,,,,,,,,,,,,,
